Team Name;Year;Wins;Losses;OT Losses;Win %;Goals For (GF);Goals Against (GA);+ / -;goals_ratio;victory_percentage
New Jersey Devils;1997;48;23;;0.585;225;166;59;1.355421686746988;
New York Islanders;1997;30;41;;0.366;212;225;-13;0.9422222222222222;
New York Rangers;1997;25;39;;0.305;197;231;-34;0.8528138528138528;
Ottawa Senators;1997;34;33;;0.415;193;200;-7;0.965;
Philadelphia Flyers;1997;42;29;;0.512;242;193;49;1.2538860103626943;
Phoenix Coyotes;1997;35;35;;0.427;224;227;-3;0.986784140969163;
Pittsburgh Penguins;1997;40;24;;0.488;228;188;40;1.2127659574468086;
San Jose Sharks;1997;34;38;;0.415;210;216;-6;0.9722222222222222;
St. Louis Blues;1997;45;29;;0.549;256;204;52;1.2549019607843137;
Tampa Bay Lightning;1997;17;55;;0.207;151;269;-118;0.5613382899628253;
Toronto Maple Leafs;1997;30;43;;0.366;194;237;-43;0.8185654008438819;
Vancouver Canucks;1997;25;43;;0.305;224;273;-49;0.8205128205128205;
Washington Capitals;1997;40;30;;0.488;219;202;17;1.0841584158415842;
Mighty Ducks of Anaheim;1998;35;34;;0.427;215;206;9;1.0436893203883495;
Boston Bruins;1998;39;30;;0.476;214;181;33;1.1823204419889504;
Buffalo Sabres;1998;37;28;;0.451;207;175;32;1.1828571428571428;
Calgary Flames;1998;30;40;;0.366;211;234;-23;0.9017094017094017;
Carolina Hurricanes;1998;34;30;;0.415;210;202;8;1.0396039603960396;
Chicago Blackhawks;1998;29;41;;0.354;202;248;-46;0.8145161290322581;
Colorado Avalanche;1998;44;28;;0.537;239;205;34;1.1658536585365853;
Dallas Stars;1998;51;19;;0.622;236;168;68;1.4047619047619047;
Detroit Red Wings;1998;43;32;;0.524;245;202;43;1.2128712871287128;
Edmonton Oilers;1998;33;37;;0.402;230;226;4;1.0176991150442478;
Florida Panthers;1998;30;34;;0.366;210;228;-18;0.9210526315789473;
Los Angeles Kings;1998;32;45;;0.39;189;222;-33;0.8513513513513513;
Montreal Canadiens;1998;32;39;;0.39;184;209;-25;0.8803827751196173;
Nashville Predators;1998;28;47;;0.341;190;261;-71;0.7279693486590039;
New Jersey Devils;1998;47;24;;0.573;248;196;52;1.2653061224489797;
New York Islanders;1998;24;48;;0.293;194;244;-50;0.7950819672131147;
New York Rangers;1998;33;38;;0.402;217;227;-10;0.9559471365638766;
Ottawa Senators;1998;44;23;;0.537;239;179;60;1.335195530726257;
Philadelphia Flyers;1998;37;26;;0.451;231;196;35;1.1785714285714286;
Phoenix Coyotes;1998;39;31;;0.476;205;197;8;1.0406091370558375;
Pittsburgh Penguins;1998;38;30;;0.463;242;225;17;1.0755555555555556;
San Jose Sharks;1998;31;33;;0.378;196;191;5;1.0261780104712042;
St. Louis Blues;1998;37;32;;0.451;237;209;28;1.1339712918660287;
Tampa Bay Lightning;1998;19;54;;0.232;179;292;-113;0.613013698630137;
Toronto Maple Leafs;1998;45;30;;0.549;268;231;37;1.1601731601731602;
Vancouver Canucks;1998;23;47;;0.28;192;258;-66;0.7441860465116279;
Washington Capitals;1998;31;45;;0.378;200;218;-18;0.9174311926605505;
Mighty Ducks of Anaheim;1999;34;33;3.0;0.415;217;227;-10;0.9559471365638766;0.4857142857142857
Atlanta Thrashers;1999;14;57;4.0;0.171;170;313;-143;0.5431309904153354;0.18666666666666668
Boston Bruins;1999;24;33;6.0;0.293;210;248;-38;0.8467741935483871;0.38095238095238093
Buffalo Sabres;1999;35;32;4.0;0.427;213;204;9;1.0441176470588236;0.49295774647887325
Calgary Flames;1999;31;36;5.0;0.378;211;256;-45;0.82421875;0.4305555555555556
Carolina Hurricanes;1999;37;35;0.0;0.451;217;216;1;1.0046296296296295;0.5138888888888888
Chicago Blackhawks;1999;33;37;2.0;0.402;242;245;-3;0.9877551020408163;0.4583333333333333
Colorado Avalanche;1999;42;28;1.0;0.512;233;201;32;1.1592039800995024;0.5915492957746479
Dallas Stars;1999;43;23;6.0;0.524;211;184;27;1.1467391304347827;0.5972222222222222
Detroit Red Wings;1999;48;22;2.0;0.585;278;210;68;1.3238095238095238;0.6666666666666666
Edmonton Oilers;1999;32;26;8.0;0.39;226;212;14;1.0660377358490567;0.48484848484848486
Florida Panthers;1999;43;27;6.0;0.524;244;209;35;1.167464114832536;0.5657894736842105
Los Angeles Kings;1999;39;27;4.0;0.476;245;228;17;1.0745614035087718;0.5571428571428572
Montreal Canadiens;1999;35;34;4.0;0.427;196;194;2;1.0103092783505154;0.4794520547945205
Nashville Predators;1999;28;40;7.0;0.341;199;240;-41;0.8291666666666667;0.37333333333333335
New Jersey Devils;1999;45;24;5.0;0.549;251;203;48;1.2364532019704433;0.6081081081081081
New York Islanders;1999;24;48;1.0;0.293;194;275;-81;0.7054545454545454;0.3287671232876712
New York Rangers;1999;29;38;3.0;0.354;218;246;-28;0.8861788617886179;0.4142857142857143
Ottawa Senators;1999;41;28;2.0;0.5;244;210;34;1.161904761904762;0.5774647887323944
Philadelphia Flyers;1999;45;22;3.0;0.549;237;179;58;1.324022346368715;0.6428571428571429
Phoenix Coyotes;1999;39;31;4.0;0.476;232;228;4;1.0175438596491229;0.527027027027027
Pittsburgh Penguins;1999;37;31;6.0;0.451;241;236;5;1.021186440677966;0.5
San Jose Sharks;1999;35;30;7.0;0.427;225;214;11;1.0514018691588785;0.4861111111111111
St. Louis Blues;1999;51;19;1.0;0.622;248;165;83;1.503030303030303;0.7183098591549296
Tampa Bay Lightning;1999;19;47;7.0;0.232;204;310;-106;0.6580645161290323;0.2602739726027397
Toronto Maple Leafs;1999;45;27;3.0;0.549;246;222;24;1.1081081081081081;0.6
