Team Name;Year;Wins;Losses;OT Losses;Win %;Goals For (GF);Goals Against (GA);+ / -;goals_ratio;victory_percentage
Carolina Hurricanes;2011;33;33;16.0;0.402;213;243;-30;0.8765432098765432;0.4024390243902439
Columbus Blue Jackets;2011;29;46;7.0;0.354;202;262;-60;0.7709923664122137;0.35365853658536583
Chicago Blackhawks;2011;45;26;11.0;0.549;248;238;10;1.0420168067226891;0.5487804878048781
Colorado Avalanche;2011;41;35;6.0;0.5;208;220;-12;0.9454545454545454;0.5
Dallas Stars;2011;42;35;5.0;0.512;211;222;-11;0.9504504504504504;0.5121951219512195
Detroit Red Wings;2011;48;28;6.0;0.585;248;203;45;1.2216748768472907;0.5853658536585366
Edmonton Oilers;2011;32;40;10.0;0.39;212;239;-27;0.8870292887029289;0.3902439024390244
Florida Panthers;2011;38;26;18.0;0.463;203;227;-24;0.8942731277533039;0.4634146341463415
Los Angeles Kings;2011;40;27;15.0;0.488;194;179;15;1.0837988826815643;0.4878048780487805
Minnesota Wild;2011;35;36;11.0;0.427;177;226;-49;0.7831858407079646;0.4268292682926829
Montreal Canadiens;2011;31;35;16.0;0.378;212;226;-14;0.9380530973451328;0.3780487804878049
Nashville Predators;2011;48;26;8.0;0.585;237;210;27;1.1285714285714286;0.5853658536585366
New Jersey Devils;2011;48;28;6.0;0.585;228;209;19;1.0909090909090908;0.5853658536585366
New York Islanders;2011;34;37;11.0;0.415;203;255;-52;0.796078431372549;0.4146341463414634
New York Rangers;2011;51;24;7.0;0.622;226;187;39;1.2085561497326203;0.6219512195121951
Ottawa Senators;2011;41;31;10.0;0.5;249;240;9;1.0375;0.5
Philadelphia Flyers;2011;47;26;9.0;0.573;264;232;32;1.1379310344827587;0.573170731707317
Phoenix Coyotes;2011;42;27;13.0;0.512;216;204;12;1.0588235294117647;0.5121951219512195
Pittsburgh Penguins;2011;51;25;6.0;0.622;282;221;61;1.2760180995475112;0.6219512195121951
San Jose Sharks;2011;43;29;10.0;0.524;228;210;18;1.0857142857142856;0.524390243902439
St. Louis Blues;2011;49;22;11.0;0.598;210;165;45;1.2727272727272727;0.5975609756097561
Tampa Bay Lightning;2011;38;36;8.0;0.463;235;281;-46;0.8362989323843416;0.4634146341463415
Toronto Maple Leafs;2011;35;37;10.0;0.427;231;264;-33;0.875;0.4268292682926829
Vancouver Canucks;2011;51;22;9.0;0.622;249;198;51;1.2575757575757576;0.6219512195121951
Washington Capitals;2011;42;32;8.0;0.512;222;230;-8;0.9652173913043478;0.5121951219512195
Winnipeg Jets;2011;37;35;10.0;0.451;225;246;-21;0.9146341463414634;0.45121951219512196
